Month,Report Date,Central in Loads,National in Loads,Eastcoast in Loads,Westcoast in Loads,Central in Pounds,National in Pounds,Eastcoast in Pounds,Westcoast in Pounds
Jan-10,1/22/2010,246.11,337.35,13.88,77.36,"9,844,439","13,493,943","555,202","3,094,302"
Jan-10,1/15/2010,225.49,322.43,26,70.94,"9,019,685","12,897,264","1,040,121","2,837,458"
Jan-10,1/8/2010,258.03,385.25,34.26,92.96,"10,321,093","15,409,866","1,370,529","3,718,244"
Jan-10,1/1/2010,258.18,331.15,4.76,68.21,"10,327,097","13,245,814","190,298","2,728,419"
Dec-09,12/24/2009,153.43,238.72,17.55,67.74,"6,137,235","9,548,927","702,131","2,709,561"
Dec-09,12/18/2009,206.37,290.28,22.88,61.03,"8,254,729","11,611,104","915,372","2,441,003"
Dec-09,12/11/2009,206.59,309.21,22.64,79.98,"8,263,549","12,368,501","905,756","3,199,196"
Dec-09,12/4/2009,224.31,316.07,24.18,67.58,"8,972,431","12,642,609","967,162","2,703,016"
Nov-09,11/27/2009,181.84,271.62,25.53,64.24,"7,273,758","10,864,765","1,021,378","2,569,629"
Nov-09,11/20/2009,215.38,303.35,18.52,69.44,"8,615,251","12,134,006","740,969","2,777,786"
Nov-09,11/13/2009,240.27,327.88,25.01,62.6,"9,610,690","13,115,249","1,000,433","2,504,126"
Nov-09,11/6/2009,224.91,314.97,25.68,64.39,"8,996,261","12,598,730","1,027,062","2,575,407"
Oct-09,10/30/2009,208.79,304.73,19.98,75.96,"8,351,709","12,189,259","799,077","3,038,473"
Oct-09,10/23/2009,207.97,301.88,16.09,77.81,"8,318,925","12,075,084","643,664","3,112,495"
Oct-09,10/16/2009,219.74,319.45,34.46,65.25,"8,789,655","12,778,128","1,378,368","2,610,105"
Oct-09,10/9/2009,200.9,313.5,20.25,92.35,"8,035,862","12,539,966","810,195","3,693,909"
Oct-09,10/2/2009,266.34,369.52,24.36,78.82,"10,653,522","14,780,869","974,466","3,152,881"
Sep-09,9/25/2009,210.5,351.91,31.52,109.89,"8,419,918","14,076,360","1,260,722","4,395,720"
Sep-09,9/18/2009,267.32,391.81,29.75,94.73,"10,692,866","15,672,281","1,190,041","3,789,374"
Sep-09,9/11/2009,206.02,295.74,12.98,76.74,"8,240,802","11,829,441","519,109","3,069,530"
Sep-09,9/4/2009,203.47,325.84,30.8,91.57,"8,138,641","13,033,624","1,232,008","3,662,975"
Aug-09,8/28/2009,203.08,348.59,33.06,112.45,"8,123,195","13,943,700","1,322,414","4,498,091"
Aug-09,8/21/2009,233.43,338.88,8.65,96.79,"9,337,302","13,555,134","346,195","3,871,637"
Aug-09,8/14/2009,246.63,343.67,13.2,83.84,"9,865,129","13,746,829","527,928","3,353,772"
Aug-09,8/7/2009,218.09,327.72,27.73,81.9,"8,723,491","13,108,628","1,109,029","3,276,108"
Jul-09,7/31/2009,206.49,319.69,20.49,92.72,"8,259,589","12,787,797","819,558","3,708,650"
Jul-09,7/24/2009,193.45,299,11.19,94.36,"7,737,975","11,959,818","447,441","3,774,402"
Jul-09,7/17/2009,188.9,302.84,20.55,93.38,"7,556,175","12,113,445","821,944","3,735,326"
Jul-09,7/10/2009,266.8,418.33,24.95,126.58,"10,672,119","16,733,326","997,966","5,063,241"
Jul-09,7/3/2009,180.49,285.94,19.55,85.91,"7,219,423","11,437,571","781,941","3,436,207"
Jun-09,6/26/2009,258.56,382.34,25.32,98.46,"10,342,540","15,293,456","1,012,671","3,938,245"
Jun-09,6/19/2009,288.37,402.94,15.32,99.25,"11,534,663","16,117,504","612,784","3,970,057"
Jun-09,6/12/2009,227.73,336.11,16.97,91.41,"9,109,239","13,444,430","678,724","3,656,467"
Jun-09,6/5/2009,227.06,350.33,29.09,94.19,"9,082,239","14,013,380","1,163,741","3,767,400"
May-09,5/29/2009,188.46,296.85,22.64,85.76,"7,538,446","11,874,161","905,425","3,430,290"
May-09,5/22/2009,219.6,327.8,30.52,77.68,"8,784,125","13,112,126","1,220,975","3,107,026"
May-09,5/15/2009,255.13,343.43,28.35,59.94,"10,205,265","13,737,054","1,134,009","2,397,780"
May-09,5/8/2009,258.64,402.31,31.29,112.38,"10,345,688","16,092,277","1,251,528","4,495,061"
May-09,5/1/2009,229.54,322.3,14.45,78.31,"9,181,506","12,891,992","577,915","3,132,571"
Apr-09,4/24/2009,214.76,303.61,7.73,81.11,"8,590,471","12,144,218","309,283","3,244,464"
Apr-09,4/17/2009,240.35,341.14,20.94,79.86,"9,614,053","13,645,784","837,423","3,194,308"
Apr-09,4/10/2009,223,322.91,23.81,76.09,"8,920,161","12,916,293","952,494","3,043,638"
Apr-09,4/3/2009,250.94,379.61,28.85,99.82,"10,037,566","15,184,253","1,153,958","3,992,729"
Mar-09,3/27/2009,265.72,363.05,21.18,76.14,"10,628,829","14,521,821","847,330","3,045,662"
Mar-09,3/20/2009,238.7,341.88,23.46,79.72,"9,548,189","13,675,266","938,335","3,188,742"
Mar-09,3/13/2009,280.19,385.39,15.99,89.21,"11,207,788","15,415,672","639,412","3,568,472"
Mar-09,3/6/2009,249.22,346.45,19.28,77.94,"9,968,998","13,857,969","771,234","3,117,737"
Feb-09,2/27/2009,213.54,318.82,26.57,78.71,"8,541,591","12,752,883","1,062,939","3,148,353"
Feb-09,2/20/2009,218.24,323.22,19.23,85.75,"8,729,687","12,928,976","769,395","3,429,894"
Feb-09,2/13/2009,250.33,349.11,19.78,79,"10,013,119","13,964,450","791,251","3,160,080"
Feb-09,2/6/2009,231.55,328.41,16.53,80.33,"9,261,810","13,136,428","661,379","3,213,239"
Jan-09,1/30/2009,262.91,370.89,23.01,84.97,"10,516,316","14,835,555","920,326","3,398,913"
Jan-09,1/23/2009,252.2,350.48,21.57,76.71,"10,087,905","14,019,085","862,972","3,068,208"
Jan-09,1/16/2009,238.7,342.13,21.21,82.23,"9,547,893","13,685,348","848,232","3,289,223"
Jan-09,1/9/2009,249.21,322.58,17.14,56.24,"9,968,215","12,903,311","685,431","2,249,665"
Jan-09,1/2/2009,323.21,380.9,11.55,46.14,"12,928,440","15,236,023","462,108","1,845,475"
Dec-08,12/26/2008,276.05,332.11,11.11,44.95,"11,042,030","13,284,526","444,598","1,797,898"
Dec-08,12/19/2008,289.84,359.92,18.92,51.15,"11,593,700","14,396,657","756,800","2,046,157"
Dec-08,12/12/2008,329.37,404.35,14.21,60.76,"13,174,753","16,173,804","568,467","2,430,584"
Dec-08,12/5/2008,267.29,353.26,22.99,62.98,"10,691,782","14,130,538","919,581","2,519,175"
Nov-08,11/28/2008,217.34,289.28,9.36,62.59,"8,693,564","11,571,210","374,200","2,503,446"
Nov-08,11/21/2008,305.02,370.15,15.73,49.4,"12,200,989","14,805,869","629,045","1,975,835"
Nov-08,11/14/2008,318.95,395.35,15.93,60.47,"12,757,838","15,814,169","637,342","2,418,989"
Nov-08,11/7/2008,279.3,364.84,31.04,54.5,"11,171,901","14,593,557","1,241,637","2,180,019"
Oct-08,10/31/2008,253.33,327.32,24.42,49.57,"10,133,354","13,092,862","976,747","1,982,761"
Oct-08,10/24/2008,276.71,355.33,20.69,57.92,"11,068,575","14,213,095","827,783","2,316,737"
Oct-08,10/17/2008,323.04,384.33,16.58,44.71,"12,921,672","15,373,296","663,193","1,788,431"
Oct-08,10/10/2008,291.9,373.68,27,54.79,"11,675,916","14,947,384","1,079,875","2,191,593"
Oct-08,10/3/2008,283.42,336.72,15.92,37.38,"11,336,933","13,468,991","636,983","1,495,075"
Sep-08,9/26/2008,287.74,358.35,33.53,37.07,"11,509,611","14,333,828","1,341,283","1,482,934"
Sep-08,9/19/2008,266.77,325.7,21.96,36.96,"10,670,939","13,027,862","878,524","1,478,399"
Sep-08,9/12/2008,260.63,339.33,19.5,59.2,"10,425,325","13,573,281","779,954","2,368,002"
Sep-08,9/5/2008,284.15,336.82,18.86,33.81,"11,365,801","13,472,774","754,504","1,352,469"
Aug-08,8/29/2008,312.69,407.96,30.16,65.1,"12,507,550","16,318,214","1,206,554","2,604,110"
Aug-08,8/22/2008,325.22,406.35,30.87,50.27,"13,008,640","16,254,007","1,234,704","2,010,663"
Aug-08,8/15/2008,330.43,415.31,36.93,47.95,"13,217,111","16,612,512","1,477,319","1,918,082"
Aug-08,8/8/2008,301.87,375.81,23.28,50.66,"12,074,686","15,032,473","931,381","2,026,406"
Aug-08,8/1/2008,292.51,357.74,19.42,45.8,"11,700,554","14,309,585","776,842","1,832,189"
Jul-08,7/25/2008,291.24,335.54,11.46,32.83,"11,649,567","13,421,460","458,578","1,313,315"
Jul-08,7/18/2008,285.43,353.23,30.12,37.68,"11,417,124","14,129,038","1,204,893","1,507,021"
Jul-08,7/11/2008,331.04,407.42,22.77,53.61,"13,241,573","16,296,944","910,837","2,144,534"
Jul-08,7/3/2008,223.38,296.01,26.16,46.47,"8,935,041","11,840,349","1,046,409","1,858,899"
Jun-08,6/27/2008,301.66,383.55,26.08,55.81,"12,066,395","15,342,169","1,043,288","2,232,486"
Jun-08,6/20/2008,418.53,502.42,30.41,53.48,"16,741,306","20,096,735","1,216,393","2,139,036"
Jun-08,6/13/2008,295.52,368.3,24.31,48.48,"11,820,619","14,731,932","972,268","1,939,045"
Jun-08,6/6/2008,315.22,402.16,26.3,60.65,"12,608,600","16,086,548","1,052,128","2,425,820"
May-08,5/30/2008,289.78,348.94,15.73,43.44,"11,591,097","13,957,712","629,156","1,737,459"
May-08,5/23/2008,308.25,393.25,28.1,56.89,"12,330,088","15,729,997","1,124,137","2,275,772"
May-08,5/16/2008,289.44,351.75,20.56,41.74,"11,577,719","14,069,815","822,409","1,669,687"
May-08,5/9/2008,292.93,378.16,33.55,51.67,"11,717,282","15,126,330","1,342,112","2,066,936"
May-08,5/2/2008,279.32,323.82,15.15,29.35,"11,172,635","12,952,606","605,943","1,174,028"
Apr-08,4/25/2008,282.37,339.28,11.88,45.03,"11,294,840","13,571,329","475,250","1,801,239"
Apr-08,4/18/2008,282.36,345.29,18.61,44.33,"11,294,457","13,811,718","744,207","1,773,054"
Apr-08,4/11/2008,242.33,307.1,18.56,46.21,"9,693,394","12,284,007","742,220","1,848,393"
Apr-08,4/4/2008,300.71,352.86,15.84,36.3,"12,028,547","14,114,282","633,706","1,452,029"
Mar-08,3/28/2008,354.11,429.01,34.99,39.91,"14,164,492","17,160,275","1,399,495","1,596,288"
Mar-08,3/21/2008,244.83,315.06,38.95,31.28,"9,793,330","12,602,508","1,558,125","1,251,053"
Mar-08,3/14/2008,267.7,341.99,36.26,38.03,"10,708,103","13,679,604","1,450,277","1,521,224"
Mar-08,3/7/2008,267.85,347.97,35.69,44.44,"10,713,813","13,918,842","1,427,433","1,777,596"
Feb-08,2/29/2008,256.16,317.44,32.26,29.02,"10,246,288","12,697,513","1,290,376","1,160,849"
Feb-08,2/22/2008,276.03,339.11,38.85,24.23,"11,041,355","13,564,402","1,553,988","969,059"
Feb-08,2/15/2008,250.44,323.4,36.14,36.82,"10,017,557","12,936,100","1,445,662","1,472,881"
Feb-08,2/8/2008,260.51,349.91,35.12,54.28,"10,420,335","13,996,451","1,404,977","2,171,139"
Feb-08,2/1/2008,303.35,370.54,40.04,27.15,"12,133,956","14,821,406","1,601,627","1,085,823"
Jan-08,1/25/2008,339.63,413.52,33.85,40.03,"13,585,291","16,540,703","1,354,085","1,601,327"
Jan-08,1/18/2008,393.86,468.63,31.77,43,"15,754,572","18,745,198","1,270,688","1,719,938"
Jan-08,1/11/2008,341.55,416.95,40.48,34.92,"13,662,083","16,678,156","1,619,075","1,396,998"
Jan-08,1/4/2008,284.87,356.13,35.03,36.23,"11,394,784","14,245,115","1,401,148","1,449,183"
Dec-07,12/28/2007,217.7,265.15,22.94,24.52,"8,707,856","10,606,120","917,448","980,816"
Dec-07,12/21/2007,361.22,426.01,31.82,32.97,"14,448,736","17,040,202","1,272,741","1,318,725"
Dec-07,12/14/2007,311.99,394.61,33.37,49.25,"12,479,453","15,784,214","1,334,812","1,969,949"
Dec-07,12/7/2007,293.27,373.81,46.42,34.11,"11,730,741","14,952,201","1,856,863","1,364,597"
Nov-07,11/30/2007,305.7,392.07,35.5,50.87,"12,227,911","15,682,618","1,419,971","2,034,736"
Nov-07,11/23/2007,269.11,317.61,20.8,27.71,"10,764,277","12,704,590","831,968","1,108,345"
Nov-07,11/16/2007,290.89,363.74,32.1,40.76,"11,635,627","14,549,733","1,283,824","1,630,282"
Nov-07,11/9/2007,311.41,386.17,45.36,29.4,"12,456,530","15,446,959","1,814,233","1,176,196"
Nov-07,11/2/2007,319.3,380.75,38,23.46,"12,771,921","15,230,168","1,519,874","938,373"
Oct-07,10/26/2007,334.46,401.11,36.31,30.34,"13,378,479","16,044,552","1,452,294","1,213,779"
Oct-07,10/19/2007,311.99,397.79,47.1,38.7,"12,479,636","15,911,573","1,884,031","1,547,906"
Oct-07,10/12/2007,326.43,408.93,47.6,34.91,"13,057,123","16,357,395","1,903,981","1,396,291"
Oct-07,10/5/2007,329.19,390.65,33.39,28.06,"13,167,740","15,625,913","1,335,625","1,122,548"
Sep-07,9/28/2007,328.57,399.28,45.34,25.38,"13,142,824","15,971,344","1,813,408","1,015,112"
Sep-07,9/21/2007,323.02,400.6,41.18,36.4,"12,920,790","16,023,939","1,647,288","1,455,861"
Sep-07,9/14/2007,336.75,410.13,33.8,39.58,"13,469,990","16,405,175","1,352,094","1,583,091"
Sep-07,9/7/2007,305.71,374.75,44.23,24.81,"12,228,281","14,989,885","1,769,399","992,205"
Aug-07,8/31/2007,342.33,416.37,42.86,31.17,"13,693,340","16,654,915","1,714,595","1,246,980"
Aug-07,8/24/2007,333.29,396.37,34.3,28.78,"13,331,510","15,854,796","1,371,942","1,151,344"
Aug-07,8/17/2007,320.66,400.03,53.34,26.03,"12,826,453","16,001,273","2,133,546","1,041,274"
Aug-07,8/10/2007,326.4,386.98,25.64,34.94,"13,055,929","15,479,386","1,025,788","1,397,669"
Aug-07,8/3/2007,388.1,448.88,33.97,26.81,"15,523,894","17,955,066","1,358,751","1,072,421"
Jul-07,7/27/2007,324.44,373.71,26.26,23.01,"12,977,627","14,948,380","1,050,536","920,217"
Jul-07,7/20/2007,376.69,430.87,29.98,24.21,"15,067,438","17,234,982","1,199,060","968,484"
Jul-07,7/13/2007,358.76,428.11,29.08,40.27,"14,350,251","17,124,566","1,163,370","1,610,945"
Jul-07,7/6/2007,312.18,353.26,26.77,14.31,"12,487,053","14,130,403","1,070,980","572,370"
Jun-07,6/29/2007,319.55,379.5,30.19,29.76,"12,782,035","15,180,078","1,207,617","1,190,426"
Jun-07,6/22/2007,482.07,551.15,40.07,29,"19,282,985","22,046,025","1,602,855","1,160,185"
Jun-07,6/15/2007,351.74,408.43,33.6,23.09,"14,069,428","16,337,116","1,344,183","923,505"
Jun-07,6/8/2007,340.17,405.98,37.64,28.17,"13,606,842","16,239,295","1,505,577","1,126,876"
Jun-07,6/1/2007,323.96,382.82,34.06,24.8,"12,958,380","15,312,966","1,362,517","992,069"
May-07,5/25/2007,329.3,410.66,43.69,37.67,"13,171,827","16,426,280","1,747,734","1,506,719"
May-07,5/18/2007,295.98,387.25,38.61,52.66,"11,839,252","15,489,990","1,544,532","2,106,206"
May-07,5/11/2007,372.73,458.3,41.25,44.32,"14,909,055","18,331,910","1,649,885","1,772,970"
May-07,5/4/2007,203.93,262.52,40.44,18.15,"8,157,045","10,500,664","1,617,667","725,952"
Apr-07,4/27/2007,219.15,273.34,31.82,22.37,"8,765,915","10,933,441","1,272,760","894,766"
Apr-07,4/20/2007,271.72,334.42,43.44,19.26,"10,868,788","13,376,638","1,737,520","770,330"
Apr-07,4/13/2007,272.7,333.64,40.32,20.62,"10,907,898","13,345,576","1,612,899","824,779"
Apr-07,4/6/2007,289.09,351.84,50.4,12.35,"11,563,620","14,073,556","2,015,893","494,043"
Mar-07,3/30/2007,265.78,329.64,43.54,20.32,"10,631,227","13,185,403","1,741,530","812,646"
Mar-07,3/23/2007,364.26,432.67,42.2,26.21,"14,570,297","17,306,824","1,688,067","1,048,460"
Mar-07,3/16/2007,266.4,330.91,38.61,25.9,"10,656,129","13,236,596","1,544,521","1,035,946"
Mar-07,3/9/2007,275.49,353.15,41.68,35.98,"11,019,659","14,125,872","1,667,184","1,439,029"
Mar-07,3/2/2007,276.15,340.59,38.95,25.5,"11,045,812","13,623,598","1,557,843","1,019,943"
Feb-07,2/23/2007,257.96,317.28,40.88,18.44,"10,318,522","12,691,257","1,635,039","737,696"
Feb-07,2/16/2007,226.19,289.18,36.07,26.92,"9,047,687","11,567,167","1,442,825","1,076,655"
Feb-07,2/9/2007,219.82,275.62,34.9,20.89,"8,792,873","11,024,702","1,396,109","835,720"
Feb-07,2/2/2007,251.93,312.19,38.42,21.84,"10,077,158","12,487,630","1,536,765","873,707"
Jan-07,1/26/2007,231.84,293.24,38.81,22.58,"9,273,701","11,729,487","1,552,536","903,250"
Jan-07,1/19/2007,214.71,287.26,45.21,27.34,"8,588,326","11,490,506","1,808,505","1,093,675"
Jan-07,1/12/2007,232.66,289.8,36.85,20.29,"9,306,579","11,592,150","1,473,838","811,733"
Jan-07,1/5/2007,214.59,270.56,35.14,20.84,"8,583,419","10,822,564","1,405,696","833,449"
Dec-06,12/29/2006,271.14,314.36,24.51,18.7,"10,845,618","12,574,390","980,589","748,183"
Dec-06,12/22/2006,222.97,274.41,34.33,17.12,"8,918,786","10,976,528","1,373,082","684,660"
Dec-06,12/15/2006,228.37,294.45,38.09,27.99,"9,134,974","11,778,057","1,523,513","1,119,570"
Dec-06,12/8/2006,202.99,268.4,43.7,21.71,"8,119,660","10,736,152","1,748,041","868,451"
Dec-06,12/1/2006,187.31,240.64,36.25,17.07,"7,492,433","9,625,498","1,450,160","682,905"
Nov-06,11/24/2006,204.97,258.11,25.6,27.54,"8,198,800","10,324,389","1,024,054","1,101,535"
Nov-06,11/17/2006,208.2,269.76,45.12,16.44,"8,328,076","10,790,273","1,804,795","657,402"
Nov-06,11/10/2006,200.87,269.17,43.79,24.51,"8,034,650","10,766,606","1,751,729","980,227"
Nov-06,11/3/2006,234.48,306.54,50.22,21.83,"9,379,274","12,261,423","2,008,981","873,168"
Oct-06,10/27/2006,235.18,295.18,36.2,23.8,"9,407,117","11,807,271","1,448,043","952,111"
Oct-06,10/20/2006,232.02,288.05,32.7,23.33,"9,280,939","11,521,970","1,308,011","933,020"
Oct-06,10/13/2006,222.39,269.44,26.87,20.19,"8,895,458","10,777,540","1,074,633","807,449"
Oct-06,10/6/2006,230.25,280.05,29.27,20.53,"9,210,163","11,202,131","1,170,736","821,232"
Sep-06,9/29/2006,212.69,267.38,40.15,14.53,"8,507,566","10,695,037","1,606,189","581,282"
Sep-06,9/22/2006,307.39,367.62,32.6,27.63,"12,295,676","14,704,694","1,303,820","1,105,198"
Sep-06,9/15/2006,215.7,284.12,42.15,26.27,"8,628,044","11,364,751","1,686,031","1,050,676"
Sep-06,9/8/2006,206.72,261.73,36.69,18.32,"8,268,723","10,469,392","1,467,789","732,880"
Sep-06,9/1/2006,244.78,304.85,33.36,26.7,"9,791,393","12,193,868","1,334,418","1,068,057"
Aug-06,8/25/2006,243.89,306.51,35.41,27.2,"9,755,797","12,260,240","1,416,338","1,088,105"
Aug-06,8/18/2006,322.39,378.96,32.88,23.7,"12,895,482","15,158,475","1,315,097","947,896"
Aug-06,8/11/2006,217.37,275.93,37.9,20.66,"8,694,868","11,037,144","1,515,879","826,397"
Aug-06,8/4/2006,257.03,304.3,28.11,19.16,"10,281,333","12,172,010","1,124,450","766,227"
Jul-06,7/28/2006,246.81,304.92,33.78,24.33,"9,872,519","12,196,707","1,351,081","973,107"
Jul-06,7/21/2006,219.09,291.65,48.73,23.83,"8,763,528","11,665,928","1,949,190","953,210"
Jul-06,7/14/2006,220.34,277.15,35.11,21.7,"8,813,727","11,086,115","1,404,571","867,817"
Jul-06,7/7/2006,234.64,289.89,37.79,17.47,"9,385,477","11,595,757","1,511,431","698,849"
Jun-06,6/30/2006,286.51,342.93,39.06,17.35,"11,460,556","13,717,089","1,562,533","694,000"
Jun-06,6/23/2006,246.14,306.54,41.5,18.9,"9,845,538","12,261,412","1,659,874","756,000"
Jun-06,6/16/2006,216.07,271.67,43.14,12.45,"8,642,976","10,866,764","1,725,788","498,000"
Jun-06,6/9/2006,254.5,306.77,36.47,15.8,"10,180,122","12,270,916","1,458,794","632,000"
Jun-06,6/2/2006,182.24,230.56,32.52,15.8,"7,289,703","9,222,526","1,300,823","632,000"
May-06,5/26/2006,210.01,269.22,45.06,14.15,"8,400,555","10,768,876","1,802,321","566,000"
May-06,5/19/2006,256.12,307.78,33.11,18.55,"10,244,773","12,311,084","1,324,311","742,000"
May-06,5/12/2006,204.35,271.19,46.74,20.1,"8,173,845","10,847,461","1,869,616","804,000"
May-06,5/5/2006,225.07,271.4,33.33,13,"9,002,655","10,855,890","1,333,235","520,000"
Apr-06,4/28/2006,262.7,311.12,36.67,11.75,"10,508,026","12,444,658","1,466,632","470,000"
Apr-06,4/21/2006,335.21,392.88,38.02,19.65,"13,408,290","15,715,264","1,520,974","786,000"
Apr-06,4/14/2006,381.8,429.16,35.91,11.45,"15,272,057","17,166,525","1,436,468","458,000"
Apr-06,4/7/2006,310.36,364.38,38.26,15.75,"12,414,453","14,575,021","1,530,568","630,000"
Mar-06,3/31/2006,335.43,380.3,32.29,12.58,"13,417,372","15,212,019","1,291,449","503,198"
Mar-06,3/24/2006,318.77,360.59,33.12,8.7,"12,750,796","14,423,609","1,324,813","348,000"
Mar-06,3/17/2006,357.3,401.28,43.78,0.2,"14,291,938","16,051,074","1,751,136","8,000"
Mar-06,3/10/2006,281.38,311.06,29.38,0.3,"11,255,216","12,442,552","1,175,336","12,000"
Mar-06,3/3/2006,316.4,351.51,33.34,1.78,"12,655,939","14,060,564","1,333,484","71,141"
Feb-06,2/24/2006,222.58,254.63,30.05,2,"8,903,203","10,185,196","1,201,993","80,000"
Feb-06,2/17/2006,234.92,266.28,25.36,5.99,"9,396,879","10,651,082","1,014,424","239,779"
Feb-06,2/10/2006,231.57,266.04,32.46,2,"9,262,988","10,641,430","1,298,442","80,000"
Feb-06,2/3/2006,234.59,268.38,30.2,3.59,"9,383,583","10,735,139","1,207,945","143,611"
Jan-06,1/27/2006,228.22,270.41,33.25,8.94,"9,128,844","10,816,318","1,329,899","357,575"
Jan-06,1/20/2006,236.48,275.43,37.65,1.3,"9,459,265","11,017,135","1,505,870","52,000"
Jan-06,1/13/2006,270.08,312.89,34.02,8.79,"10,803,116","12,515,563","1,360,808","351,639"
Jan-06,1/6/2006,197.14,229.98,25.84,7.01,"7,885,480","9,199,094","1,033,400","280,214"
Dec-05,12/30/2005,225.13,243.02,16.03,1.85,"9,005,257","9,720,643","641,187","74,199"
Dec-05,12/23/2005,215.37,253.53,30.61,7.55,"8,614,665","10,141,100","1,224,466","301,969"
Dec-05,12/16/2005,240.91,290.7,37.28,12.51,"9,636,293","11,628,169","1,491,281","500,595"
Dec-05,12/9/2005,252.54,290.41,18.89,18.99,"10,101,447","11,616,526","755,490","759,589"
Dec-05,12/2/2005,247.86,267.36,11.82,7.69,"9,914,236","10,694,515","472,872","307,407"
Nov-05,11/25/2005,225.18,256.95,13.64,18.12,"9,007,270","10,277,814","545,646","724,898"
Nov-05,11/18/2005,228.02,249.07,13.9,7.15,"9,120,929","9,962,980","556,051","286,000"
Nov-05,11/11/2005,282.13,310.1,12.88,15.1,"11,285,078","12,404,037","515,131","603,828"
Nov-05,11/4/2005,299.44,316.64,14.4,2.8,"11,977,537","12,665,475","575,938","112,000"
Oct-05,10/28/2005,260.97,278.45,11.68,5.8,"10,438,933","11,137,966","467,033","232,000"
Oct-05,10/21/2005,254.85,290.13,13.78,21.51,"10,193,907","11,605,225","551,041","860,277"
Oct-05,10/14/2005,244.23,264.45,15.76,4.45,"9,769,347","10,577,809","630,462","178,000"
Oct-05,10/7/2005,271.18,284.51,13.18,0.15,"10,847,335","11,380,462","527,127","6,000"
Sep-05,9/30/2005,244.16,260.55,13.38,3,"9,766,493","10,421,872","535,379","120,000"
Sep-05,9/23/2005,214.78,231.03,16.25,0,"8,591,193","9,241,231","650,038",0
Sep-05,9/16/2005,225.44,246.89,19.85,1.6,"9,017,648","9,875,648","794,000","64,000"
Sep-05,9/9/2005,185.19,199.05,12.65,1.2,"7,407,780","7,961,810","506,030","48,000"
Sep-05,9/2/2005,209.4,233.27,18.42,5.45,"8,376,072","9,330,861","736,789","218,000"
Aug-05,8/26/2005,242.58,267.49,18.41,6.5,"9,703,296","10,699,635","736,339","260,000"
Aug-05,8/19/2005,246.79,269.69,20.6,2.3,"9,871,645","10,787,780","824,135","92,000"
Aug-05,8/12/2005,243.14,264.94,21.15,0.65,"9,725,753","10,597,621","845,868","26,000"
Aug-05,8/5/2005,268.93,290.96,21.03,1,"10,757,328","11,638,551","841,223","40,000"
Jul-05,7/29/2005,220.02,242.07,17.85,4.2,"8,800,923","9,682,702","713,909","167,870"
Jul-05,7/22/2005,268.85,299.94,16.82,14.28,"10,753,823","11,997,485","672,600","571,062"
Jul-05,7/15/2005,259,298.03,17.57,21.45,"10,360,179","11,921,084","702,710","858,195"
Jul-05,7/8/2005,274.76,289.52,11.1,3.66,"10,990,245","11,580,698","444,015","146,438"
Jul-05,7/1/2005,305.44,342.19,18.06,18.7,"12,217,519","13,687,685","722,306","747,860"
Jun-05,6/24/2005,289.17,313.34,16.56,7.61,"11,566,727","12,533,492","662,500","304,265"
Jun-05,6/17/2005,247.27,271.05,14.15,9.63,"9,890,996","10,842,136","566,033","385,107"
Jun-05,6/10/2005,229.88,255.91,16.17,9.85,"9,195,324","10,236,362","646,855","394,183"
Jun-05,6/3/2005,231.61,254.05,16.04,6.4,"9,264,318","10,162,017","641,731","255,968"
May-05,5/27/2005,240.39,268.34,20.6,7.35,"9,615,548","10,733,538","823,939","294,051"
May-05,5/20/2005,239.17,261.73,14.32,8.24,"9,566,814","10,469,187","572,882","329,491"
May-05,5/13/2005,241.48,266.79,17.93,7.38,"9,659,397","10,671,791","717,026","295,368"
May-05,5/6/2005,240.97,272.85,16.1,15.78,"9,638,762","10,913,895","644,113","631,020"
Apr-05,4/29/2005,218.69,264.83,27.08,19.06,"8,747,408","10,593,015","1,083,130","762,477"
Apr-05,4/22/2005,192.98,221.71,15.36,13.37,"7,719,328","8,868,588","614,385","534,875"
Apr-05,4/15/2005,227.5,265.43,20.21,17.73,"9,099,990","10,617,267","808,248","709,029"
Apr-05,4/8/2005,199.33,224.46,14.52,10.61,"7,973,157","8,978,412","580,668","424,587"
Apr-05,4/1/2005,183,205.79,17.7,5.09,"7,320,049","8,231,646","708,025","203,572"
Mar-05,3/25/2005,227.15,255.42,10.15,18.11,"9,086,000","10,216,609","406,138","724,471"
Mar-05,3/18/2005,211.16,237.98,11.39,15.43,"8,446,261","9,519,166","455,746","617,159"
Mar-05,3/11/2005,222.74,245.94,13.57,9.62,"8,909,751","9,837,441","542,866","384,824"
Mar-05,3/4/2005,238.87,274.98,18.07,18.04,"9,554,828","10,999,271","722,679","721,764"
Feb-05,2/25/2005,275.16,308.67,19.61,13.9,"11,006,292","12,346,849","784,460","556,097"
Feb-05,2/18/2005,271.98,313.89,21.84,20.07,"10,879,136","12,555,479","873,409","802,934"
Feb-05,2/11/2005,272.6,298.97,11.23,15.14,"10,904,027","11,958,873","449,250","605,596"
Feb-05,2/4/2005,304.02,326.51,12.09,10.4,"12,160,783","13,060,373","483,671","415,919"
Jan-05,1/28/2005,246.09,275.9,15.97,13.84,"9,843,612","11,035,805","638,751","553,442"
Jan-05,1/21/2005,285.31,321.13,13.15,22.68,"11,412,201","12,845,348","525,800","907,347"
