CATEGORY_DESCRIPTION,kroger_private_label_penetration,benchmark_private_label_penetration,penetration_gap
In-Store Bakery Croissants,0.07692307692307693,0.9858188013629986,0.9088957244399216
Other-Prepared,0,0.6413021568232211,0.6413021568232211
In-Store Bakery Cupcakes,0,0.5944802578565673,0.5944802578565673
