CATEGORY_DESCRIPTION,kroger_private_label_sales,kroger_total_sales,kroger_private_label_penetration,benchmark_private_label_sales,benchmark_total_sales,benchmark_private_label_penetration
Shredded Cheese,508747.2477532327,592411.9275623597,0.8587727965684484,134915.23944434524,296519.47883995436,0.45499621128487616
Milk,780361.1413524766,1057433.6195901688,0.7379764808829535,359592.7197726667,503136.1983086914,0.714702541740088
Salad Greens,221626.9686761927,305954.82816891186,0.7243780724187057,49380.91990614869,214706.32935773022,0.2299928467589481
Chicken-Prepared,93357.49802875519,157923.9267937839,0.5911548675626641,152945.56793762743,330240.004956061,0.4631345858839152
Chicken,721133.9768098071,1261840.1042679008,0.5714939431475728,292606.6596888881,531627.2483495343,0.550398160736308
