CATEGORY_DESCRIPTION,kroger_private_label_penetration,benchmark_private_label_penetration,penetration_gap
Still Water,0.399253731,0.797083921,0.39783019
Ground Beef,0.5,0.849210195,0.349210195
Pork Bacon,0.386792453,0.721280937,0.334488484
